,screen_name,favorite_rate,retweet_rate,favourites_count,followers_count,friends_count,listed_count,statuses_count,verified,number_of_intersections,score
34,cntraveler,-0.3283272003315011,-0.2878493587350541,-0.26539553898163193,0.2395181300115435,1.7707172889407985,0.6602569199944757,0.9417846286397872,1,0.3763159523632146,0.405195868579768
35,jasminmakeup1,-0.32110367050894056,-0.2891448674539474,-0.335371762207044,-0.2135575284815284,-0.1500656056540534,-0.2142265168970968,-0.4975035321632298,0,-0.33159104356607244,-0.3900588274836712
36,la_prairie,-0.24522191593007914,-0.16340112791035785,-0.3824189571686174,-0.21431662133445906,-0.1132863215830008,-0.2034629490303818,-0.3480086160620541,0,-0.33159104356607244,-0.27872317003478964
37,suitsandshirts,-0.16210859526426716,0.1024570642675171,-0.4039149211659662,-0.21576817288994216,-0.1677596583927276,-0.21896850833488035,-0.5924422060834575,0,-0.6147538419377873,-0.6206826893420685
38,prada,-0.320089623443862,-0.2812004983299346,-0.4154709074851083,-0.04975610475112973,-0.1779761261902422,0.02234616705454824,-0.5211735605459159,1,1.2258043474783589,1.200450564643207
39,ozzyosbourne,-0.2832072399931425,-0.2519286833229398,-0.3534832552771507,0.5379355019548104,-0.17484597435440793,1.0361538285705223,-0.488477424021272,1,-0.4731724427519298,-0.5013944849325526
40,jackiewelling,-0.28339502693523805,-0.2891448674539474,-0.379613810093786,-0.21562163422872924,-0.17006379793855006,-0.2173125748169242,-0.5516131700350704,0,-0.4731724427519298,-0.5013944849325526
41,gkraltoledo,0.9190992781443376,0.34428547611057336,-0.10632540540125067,-0.2152843694294636,-0.13567560207542642,-0.21520502306679815,-0.4794513158793142,0,-0.6147538419377873,-0.6206826893420685
42,raysiegel,-0.3149685232402051,-0.2721491684038436,-0.3932736567190517,-0.21423163455791744,-0.13154554062536733,-0.20421564608399825,-0.2275899910327581,0,-0.048428245194357636,-0.024241667294489136
43,karliekloss,-0.3165901726307077,-0.2817221817461589,-0.3062531159411318,0.6012865086863529,-0.15463041041464498,0.06269072912838908,-0.4918622145745062,1,1.3673857466642163,1.3276913160133574
44,imlizziem,1.0547197203642584,1.5268084238890516,-0.41376342665695015,-0.19290856526286526,-0.17810654918340196,-0.1905165597081792,-0.5875765696631834,0,-0.6147538419377873,-0.6206826893420685
45,ladyaddict,-0.3264315838461962,-0.2815564407849536,-0.360496122964229,-0.2087425052464708,-0.1501525543161599,-0.17245183042138476,-0.297871405992273,0,1.7921299442217884,1.8764170562971303
46,matugarces,-0.07464365017759551,-0.1137791278455606,0.19129460109253915,-0.17724883405376532,-0.1641947632463608,-0.2041403763786366,0.16342383433564714,1,-0.6147538419377873,-0.6206826893420685
47,cmimediafrance,-0.30769068454424925,-0.2333578394366437,-0.09278752169228204,-0.21484800044891525,-0.1352408587648939,-0.2034629490303818,-0.34784407763238295,0,-0.6147538419377873,-0.6206826893420685
48,gucci,-0.2268479450512487,-0.005680456128432114,-0.3960178223357345,0.614364872438537,-0.16267316165949694,0.4525878029017016,-0.39147026698517895,1,1.9337113434076456,1.8048441336514207
49,mrbradgoreski,-0.2251528247683192,-0.2531839563139926,-0.3745523490674599,-0.17659025712259155,-0.15150025857881075,-0.003320802473772144,-0.2635768961508241,1,1.650548545035931,1.987752713746012
50,pedrocapo,-0.09421989588614296,-0.12314737688259125,0.1572669474456721,-0.19897834343131468,-0.12376363536683492,-0.19571016937813251,-0.11121431027538058,1,-0.6147538419377873,-0.6206826893420685
51,mmmmitchell,1.2352918416092988,0.2732465387104246,-0.3733022291754156,-0.20786637910823616,-0.17532419199599372,-0.2170114959954776,-0.6011862483459791,0,-0.6147538419377873,-0.6206826893420685
52,ellabalinska,0.8742606915538219,0.5568249447455259,-0.3816261982126868,-0.21381248881115325,-0.17819349784550848,-0.21603298982577626,-0.6051351706580856,1,-0.6147538419377873,-0.6206826893420685
53,cosmoindia,-0.32704362120630315,-0.28659822925039674,-0.3994937654501993,-0.1357912397688168,-0.14097947046392334,-0.1911187173510723,0.6370594568889003,1,-0.048428245194357636,-0.10376713690083304
54,sammiscarlette,-0.3073166963800841,-0.26072653444025684,0.9048081521591486,-0.2039211291792796,1.1567293114756974,-0.19924784553012975,0.11982115047280427,1,-0.6147538419377873,-0.6206826893420685
55,giulianarancic,-0.3278270712595867,-0.2885383481644347,-0.41376342665695015,0.2351081351185089,-0.14363140465817184,0.6372243901538128,-0.16673427754440212,1,1.2258043474783589,1.1527352828794009
56,amymorrisonhsn,0.012289406645336164,-0.2741634486501683,-0.3494584790393492,-0.2150933609433161,-0.16489035254321285,-0.2173125748169242,-0.5811595709060103,0,-0.4731724427519298,-0.5252521258144558
57,victoriabeckham,-0.3256813174124401,-0.2872625851507372,-0.41037895572970795,1.5476982640353971,-0.17575893530652628,1.1659188006139958,-0.5286012953710687,1,1.5089671458500735,1.407216785619701
58,jessicaasims,-0.15576585889801126,-0.0985628047284181,0.029846190644366118,-0.21535905050054416,-0.10593915963500096,-0.2126458530845023,-0.2278015404423352,0,-0.6147538419377873,-0.6206826893420685
59,haircuttery,-0.318709541260758,-0.2691499273950017,-0.249296434030426,-0.2147364729514603,-0.13302366788117795,-0.21302220161131047,-0.4158924710463616,1,-0.4731724427519298,-0.4059639214049399
60,audrinapatridge,-0.30749403675055514,-0.2625311457387407,-0.4152879631106628,0.08240440325511353,-0.1418924314160417,0.4436307079636661,-0.4610935282260095,1,-0.19000964438021506,-0.18329260650717694
61,filmqns,-0.3194670659045017,-0.2891448674539474,1.1737973640522144,-0.2156312340639532,-0.16610763381270394,-0.2149039442453516,0.5601965047425411,0,-0.6147538419377873,-0.6206826893420685
62,theory__,-0.3269556946107869,-0.2849520347265663,-0.3699482489772477,-0.2094143525381012,-0.14493563458976946,-0.1674840298675163,-0.4770772613940597,0,0.8010601499207868,0.9062063270997348
63,marieclaire,-0.3288203065967014,-0.28867185558116026,-0.24475331539836215,0.10162764976896983,-0.09915716399069338,0.6640956749679195,2.5781428172088825,1,2.2168741417793605,2.170661293840603
64,aikaslovecloset,0.3098791553436801,0.26723231117029056,-0.2896051778665893,-0.21570323282813295,-0.16528162152269216,-0.21482867453999,-0.3895193113190787,0,-0.4731724427519298,-0.5013944849325526
65,villainlily,0.4125159774883503,-0.15724075218386527,1.7123856024198305,-0.21402043818299013,-0.16258621299739046,-0.2113662680933544,-0.5683725843715701,0,-0.6147538419377873,-0.6206826893420685
66,hudabeauty,-0.2286642904760672,-0.21613096462854095,-0.2792688207104173,-0.1877530302254515,-0.16049944510683425,-0.17711855215380665,0.18117047925017354,1,-0.19000964438021506,-0.2469129821922521
67,ladydamfino,2.0769682636630957,0.20195345164137996,0.5660256614151163,-0.2150558086467047,-0.1491961190329883,-0.21791473245981732,-0.386839685464435,0,-0.6147538419377873,-0.6206826893420685
68,paulfeig,-0.32098623499926576,-0.2834148609161672,1.5382835394058425,0.09022078673813573,-0.14493563458976946,0.21089677898546486,-0.3731359848218272,1,-0.4731724427519298,-0.5013944849325526
69,ddlecours,0.8780752144768559,1.225909676580472,2.0079017486074973,-0.21438283196269495,-0.15584769168413612,-0.21467813512926667,-0.3396876726186868,1,-0.6147538419377873,-0.6206826893420685
